start-date-time,end-date-time,geography,name,tags,link,miscellaneous
Fri: Apr 12(8pm-2am),Fri: Apr 12(8pm-2am),Martyn @ Phonobar (San Francisco),Martyn @ Phonobar (San Francisco),"house, techno, garage, dubstep",https://www.facebook.com/events/404639970272303/,$15 | 21+Phonobar
Fri: Apr 12(8pm-2am),Fri: Apr 12(8pm-2am),"Out There Photography Show By Yesim- Opening Night w/ Sappho, Deluxepaint, William Wardlaw, JG Scott @ BRIX 581 (Oakland)","Out There Photography Show By Yesim- Opening Night w/ Sappho, Deluxepaint, William Wardlaw, JG Scott @ BRIX 581 (Oakland)","tech house, deep house",,21+Yesim Demirci Ozkurt
Fri: Apr 12(9pm-1:30am),Fri: Apr 12(9pm-1:30am),Nakology @ Strummer's (Fresno),Nakology @ Strummer's (Fresno),"hip-hop, EDM, top 40",,Dj Burns
Fri: Apr 12(9pm-1:45am),Fri: Apr 12(9pm-1:45am),The Cauldron - Spring Fever Benefit / DJ Starr's Birthday @ The Golden Bull (Oakland),The Cauldron - Spring Fever Benefit / DJ Starr's Birthday @ The Golden Bull (Oakland),"darkwave, goth, electro",,$10 | 21+The Cauldron
Fri: Apr 12(9pm-2am),Fri: Apr 12(9pm-2am),Giuseppe Ottaviani @ Mezzanine (San Francisco),Giuseppe Ottaviani @ Mezzanine (San Francisco),trance,https://www.facebook.com/events/331802424125627/,$25-35 | 21+Mezzanine
Fri: Apr 12(9pm-2am),Fri: Apr 12(9pm-2am),"Lighting In A Bottle Pre-Party w/ Two Fingers, Ivy Lab, Thriftworks, Dorfex Bos, Nico Luminous @ The Midway (San Francisco)","Lighting In A Bottle Pre-Party w/ Two Fingers, Ivy Lab, Thriftworks, Dorfex Bos, Nico Luminous @ The Midway (San Francisco)","bass music, glitch, dubstep, hip-hop, trap",,$20-35 | 21+The Midway
Fri: Apr 12(9pm-2am),Fri: Apr 12(9pm-2am),"Rhythm Method: Dave Aju, George Didescu's Bday! @ BRIX 581 (Oakland)","Rhythm Method: Dave Aju, George Didescu's Bday! @ BRIX 581 (Oakland)","deep house, tech house",,21+Housebroken Events
Fri: Apr 12(9pm-2am),Fri: Apr 12(9pm-2am),Sander Kleinenberg @ The Midway (San Francisco),Sander Kleinenberg @ The Midway (San Francisco),"house, trance",https://www.facebook.com/events/2044402845613452/,"$10-20 | 21+The Midway, Opel Productions"
Fri: Apr 12(9pm-2am),Fri: Apr 12(9pm-2am),"Slug Wife, Kursa, Broken Note, Seppa @ The New Parish (Oakland)","Slug Wife, Kursa, Broken Note, Seppa @ The New Parish (Oakland)","dubstep, halftime drum and bass",https://www.facebook.com/events/682583298804342/,"$10-20 pre/$25 | 18+Wormhole, 4/12, Wormhole"
Fri: Apr 12(9pm-2am),Fri: Apr 12(9pm-2am),Wrongway w/ Liam Sutro @ Driftwood (San Francisco),Wrongway w/ Liam Sutro @ Driftwood (San Francisco),"house, disco",,21+Birch Koolman
Fri: Apr 12(9pm-3am),Fri: Apr 12(9pm-3am),Fluxion/ Experimental Housewife/ Federsen Loft @ The Public Works Loft (San Francisco),Fluxion/ Experimental Housewife/ Federsen Loft @ The Public Works Loft (San Francisco),"house, dub techno, ambient, experimental",https://www.facebook.com/events/2130687780380769/,$15-20 | 21+Alibi Works
Fri: Apr 12(9:30pm-3:30am),Fri: Apr 12(9:30pm-3:30am),Ame (DJ Set) & Adriatique @ The Great Northern (San Francisco),Ame (DJ Set) & Adriatique @ The Great Northern (San Francisco),"techno, tech house, deep house",https://www.facebook.com/events/2156116238032229/,$20-30 | 21+The Great Northern
Fri: Apr 12(9:30pm-3am),Fri: Apr 12(9:30pm-3am),Nightshift @ Cat Club (San Francisco),Nightshift @ Cat Club (San Francisco),"synthwave, darkwave, post-punk, goth, industrial, new wave",,$5 b4 10/$8 | 21+Nightshift
Fri: Apr 12(9:30pm-4am),Fri: Apr 12(9:30pm-4am),"Earthboogie, Wavy Baby, GrooveWell @ F8 1192 Folsom (San Francisco)","Earthboogie, Wavy Baby, GrooveWell @ F8 1192 Folsom (San Francisco)","disco, house, afrobeat",,$10-15 | 21+Groovewell
Fri: Apr 12(10pm-2am),Fri: Apr 12(10pm-2am),"Space Yacht SF: Dillon Nathaniel's Warehouse Movement w/Londonbridge, Grensta, Roy Havens @ Audio (San Francisco)","Space Yacht SF: Dillon Nathaniel's Warehouse Movement w/Londonbridge, Grensta, Roy Havens @ Audio (San Francisco)","house, trap, hip-hop, club music",,$10-15 | 21+Audio San Francisco
Fri: Apr 12(10pm-3am),Fri: Apr 12(10pm-3am),Flowers Need the Rain : A Hardcore Spring Celebration @ TBA (Sacramento),Flowers Need the Rain : A Hardcore Spring Celebration @ TBA (Sacramento),"happy hardcore, uk hardcore, j-core, drum and bass, acid, techno",https://www.facebook.com/events/424833424929785/,"$10 before 10pm, $12 after 10pmChildren of the NITE"
Fri: Apr 12(10pm-4am),Fri: Apr 12(10pm-4am),Fur Coat @ Halcyon (San Francisco),Fur Coat @ Halcyon (San Francisco),"tech house, deep house, progressive house",https://www.facebook.com/events/1043921992458798/,$10-30 | 21+Fur Coat
Sat: Apr 13(2am-6am),Sat: Apr 13(2am-6am),"Rhythm Method: Friday Night Afters: Alicia, Mike Bledsoe, Dominic M, Rev. Hooman @ The Endup (San Francisco)","Rhythm Method: Friday Night Afters: Alicia, Mike Bledsoe, Dominic M, Rev. Hooman @ The Endup (San Francisco)","techno, tech house",,21+Housebroken Events
Sat: Apr 13(3pm-9pm),Sat: Apr 13(3pm-9pm),Good Vbz 2 Year Anniversary @ 7th West (Oakland),Good Vbz 2 Year Anniversary @ 7th West (Oakland),"hip-hop, trap, r&b",,21+Good Vbz
Sat: Apr 13(6pm-1am),Sat: Apr 13(6pm-1am),"Fools Gold Feat Planet of the Drums, VRG, RCKT PWR, Contrvbvnd + More @ 2300 Sierra Blvd (Sacramento)","Fools Gold Feat Planet of the Drums, VRG, RCKT PWR, Contrvbvnd + More @ 2300 Sierra Blvd (Sacramento)","drum and bass, dubstep, electro house",https://www.facebook.com/events/333072523988588/,$22-36National Entity
Sat: Apr 13(7pm),Sat: Apr 13(7pm),"Excision, Virtual Riot, Barely Alive, Dion Timmer, Dubloadz, Sullivan King @ Bill Graham Civic Auditorium (San Francisco)","Excision, Virtual Riot, Barely Alive, Dion Timmer, Dubloadz, Sullivan King @ Bill Graham Civic Auditorium (San Francisco)","dubstep, brostep",https://www.facebook.com/events/356781081807247/,$49.5 | 18+
Sat: Apr 13(8pm-11:59pm),Sat: Apr 13(8pm-11:59pm),"Emancipator - Loci Showcase Tour 2019 w/ Marley Carroll, 9 Theory, Lapa @ Great American Music Hall (San Francisco)","Emancipator - Loci Showcase Tour 2019 w/ Marley Carroll, 9 Theory, Lapa @ Great American Music Hall (San Francisco)","trip-hop, downtempo",,$25-30 | All agesGreat American Music Hall
Sat: Apr 13(8pm-12am),Sat: Apr 13(8pm-12am),Mahawam Ep Release Party @ Eli's Mile High Club (Oakland),Mahawam Ep Release Party @ Eli's Mile High Club (Oakland),"hip-hop, house",,$5 pre/$10 | 21+Molly House Records
Sat: Apr 13(8pm-2am),Sat: Apr 13(8pm-2am),"Nice Timing w/ Huerta, Andy Warren and Zacky @ Phonobar (San Francisco)","Nice Timing w/ Huerta, Andy Warren and Zacky @ Phonobar (San Francisco)",deep house,,$10 | 21+Nice Timing
Sat: Apr 13(8pm-3am),Sat: Apr 13(8pm-3am),"Elements Tour Ft. PartyWave & Pushloop, Ananaki, LB & Konfusion, Bass Buddha, Skinny @ TBA (Sacramento)","Elements Tour Ft. PartyWave & Pushloop, Ananaki, LB & Konfusion, Bass Buddha, Skinny @ TBA (Sacramento)","dubstep, trap, bass music",https://www.facebook.com/events/556988601452286/,$15 pre/$20-25 | 18+Cymatics Inc.
Sat: Apr 13(9pm-2am),Sat: Apr 13(9pm-2am),Suzanne Ciani (Live) @ Mezzanine (San Francisco),Suzanne Ciani (Live) @ Mezzanine (San Francisco),"experimental, techno, modular synth",https://www.facebook.com/events/300286237312422/,$15-20 | 21+Mezzanine
Sat: Apr 13(9pm-2pm),Sat: Apr 13(9pm-2pm),"Jam- Just Another Monthly w/CGK, DJ Smokie, Billy the Kid, Roxas, Michael Liu @ BRIX 581 (Oakland)","Jam- Just Another Monthly w/CGK, DJ Smokie, Billy the Kid, Roxas, Michael Liu @ BRIX 581 (Oakland)","hardstyle, hard dance, psytrance, drum and bass",,Free w/RSVP b4 10pm/$5 | 21+Entertainment 4 U (Aka E4u)
Sat: Apr 13(9pm-3:30am),Sat: Apr 13(9pm-3:30am),Bootie SF: 00's Mashup Night @ DNA Lounge (San Francisco),Bootie SF: 00's Mashup Night @ DNA Lounge (San Francisco),mashups,https://www.facebook.com/events/320621902143333/,$10 b4 10pm/$15 pre/$20 | 21+Bootie SF
Sat: Apr 13(9pm-3am),Sat: Apr 13(9pm-3am),"Technosaic w/ Lily Ackerman, Solara, Miagma, Tooth @ Midtown Barfly (Sacramento)","Technosaic w/ Lily Ackerman, Solara, Miagma, Tooth @ Midtown Barfly (Sacramento)","house, tech house",https://www.facebook.com/events/2202378806450974/,$10 | 21+Lost In Groove
Sat: Apr 13(9pm-4am),Sat: Apr 13(9pm-4am),Lose Control Feat. Jay-J @ F8 1192 Folsom (San Francisco),Lose Control Feat. Jay-J @ F8 1192 Folsom (San Francisco),"funky house, nu-disco",https://www.residentadvisor.net/events/1231133,$5-15 | 21+
Sat: Apr 13(9:30pm-2am),Sat: Apr 13(9:30pm-2am),"41thrive: DJ Denise, R3M, Amber Leigh, Alien @ Curio Bar (San Francisco)","41thrive: DJ Denise, R3M, Amber Leigh, Alien @ Curio Bar (San Francisco)","house, drum and bass, future beats, trap",,$5 b4 11/$10 | 18+Curio Bar SF
Sat: Apr 13(9:30pm-2am),Sat: Apr 13(9:30pm-2am),Deep Grooves: Dance For A Cause-Alc Fundraiser For Mikey Kinsley @ Driftwood (San Francisco),Deep Grooves: Dance For A Cause-Alc Fundraiser For Mikey Kinsley @ Driftwood (San Francisco),house,,$10 suggested donation | 21+Kaveh And Mario
Sat: Apr 13(9:30pm-3:30am),Sat: Apr 13(9:30pm-3:30am),"Dusky & Project Pablo, Benjamin K @ The Great Northern (San Francisco)","Dusky & Project Pablo, Benjamin K @ The Great Northern (San Francisco)",house,https://www.facebook.com/events/1764427350330214/,$20 | 21+The Great Northern
Sat: Apr 13(9:30pm-3am),Sat: Apr 13(9:30pm-3am),Resurreggtion3! @ Monarch (San Francisco),Resurreggtion3! @ Monarch (San Francisco),"funky house, electro house, breaks, tech house",https://www.facebook.com/events/256673651929946/,$15-25 | 21+Monarch
Sat: Apr 13(10pm-2am),Sat: Apr 13(10pm-2am),"True School SF: DJ Denise, R3M, Amber Leigh, Alien @ Curio Bar (San Francisco)","True School SF: DJ Denise, R3M, Amber Leigh, Alien @ Curio Bar (San Francisco)","drum and bass, house, hip-hop",,$5 b4 11/$10 | 21+Autopsy1
Sat: Apr 13(10pm-3:30am),Sat: Apr 13(10pm-3:30am),Parameter w/Pariah @ F8 1192 Folsom (San Francisco),Parameter w/Pariah @ F8 1192 Folsom (San Francisco),"techno, garage",https://www.facebook.com/events/1162469663918513/,$10-15 | 21+Parameter
Sat: Apr 13(10pm-4am),Sat: Apr 13(10pm-4am),Nina Kraviz @ Halcyon (San Francisco),Nina Kraviz @ Halcyon (San Francisco),techno,,$25-40 | 21+Halcyon SF
Sat: Apr 13(10pm-4am),Sat: Apr 13(10pm-4am),Young Bombs @ Temple Nightclub (San Francisco),Young Bombs @ Temple Nightclub (San Francisco),pop EDM,,Free w/RSVP / $20+ | 21+Temple Nightclub
Sun: Apr 14(2am-6am),Sun: Apr 14(2am-6am),Rel8 Saturday Night Afterhours Feat. Crazibiza @ The Endup (San Francisco),Rel8 Saturday Night Afterhours Feat. Crazibiza @ The Endup (San Francisco),house,,21+The Endup
Sun: Apr 14(1pm-3pm),Sun: Apr 14(1pm-3pm),Sunday Soundbath @ Vintage Synthesizer Museum (Emeryville),Sunday Soundbath @ Vintage Synthesizer Museum (Emeryville),ambient,,$5 suggested donation | 18+Vintage Synthesizer Museum
Sun: Apr 14(2pm-9pm),Sun: Apr 14(2pm-9pm),Permission To Land: Close Encounters Ft. Oona Dahl b2b Holmar @ The Midway (San Francisco),Permission To Land: Close Encounters Ft. Oona Dahl b2b Holmar @ The Midway (San Francisco),"tech house, progressive house, deep house",https://www.facebook.com/events/312542702798650/,$18-22 | 21+The Midway
Sun: Apr 14(9pm-2am),Sun: Apr 14(9pm-2am),Partywave & Pushloop @ American Legion Post 795 (South Lake Tahoe),Partywave & Pushloop @ American Legion Post 795 (South Lake Tahoe),"trap, hip-hop",,$15 pre/$20 | 21+Hakunamatahoe
Sun: Apr 14(11pm-4am),Sun: Apr 14(11pm-4am),"House Groove Feat. Bb Hayes, Taj, Trevor Mijares & DJ Editor @ The Endup (San Francisco)","House Groove Feat. Bb Hayes, Taj, Trevor Mijares & DJ Editor @ The Endup (San Francisco)",house,https://theendupsf.com/event/house-groove/,Free w/RSVP b4 midnight/$5 b4 $1 | 21+
Mon: Apr 15(8pm-12am),Mon: Apr 15(8pm-12am),Kontravoid @ Elbo Room (San Francisco),Kontravoid @ Elbo Room (San Francisco),"EBM, industrial, synthwave",https://www.facebook.com/events/566024513878630/,$13 | 21+Bodyshock
Tue: Apr 16(8pm),Tue: Apr 16(8pm),"Las Sucias w/Special Interest (New Orleans), Neon, Drama @ Ivy Room (Albany)","Las Sucias w/Special Interest (New Orleans), Neon, Drama @ Ivy Room (Albany)","industrial, experimental",https://www.facebook.com/events/795712514099901/,$8-10 | 21+Ivy Room
Tue: Apr 16(9pm-1:30am),Tue: Apr 16(9pm-1:30am),Rhythm Ritual w/ Tony Soul @ The Continental Bar Lounge & Patio (San Jose),Rhythm Ritual w/ Tony Soul @ The Continental Bar Lounge & Patio (San Jose),house,,Free | 21+Rhythm Ritual
Tue: Apr 16(10pm-2am),Tue: Apr 16(10pm-2am),"Ananaki, Dalfin, Smoakland, Ryury @ Monarch (San Francisco)","Ananaki, Dalfin, Smoakland, Ryury @ Monarch (San Francisco)","dubstep, trap, grime, hip-hop, footwork, juke, halftime drum and bass, house",,21+Soundpieces
Wed: Apr 17(7:30pm),Wed: Apr 17(7:30pm),Boy Harsher w/Special Interest @ The Independent (San Francisco),Boy Harsher w/Special Interest @ The Independent (San Francisco),"darkwave, industrial",https://www.facebook.com/events/472962596441291/,$14 pre/$16 | 21+
Wed: Apr 17(8pm-12am),Wed: Apr 17(8pm-12am),DJmaDRE @ The Royale (San Francisco),DJmaDRE @ The Royale (San Francisco),"future bass, hip hop, funk, soul, global bass",http://www.theroyalesf.com/calendar-1/,Free | 21+Will Weston
Wed: Apr 17(9pm-2am),Wed: Apr 17(9pm-2am),"Housepitality: Theo Parrish, Tyrel Williams b2b Josh Zeitler, A One Showcase @ F8 1192 Folsom (San Francisco)","Housepitality: Theo Parrish, Tyrel Williams b2b Josh Zeitler, A One Showcase @ F8 1192 Folsom (San Francisco)","techno, tech house, deep house",https://www.facebook.com/events/1207678969384524/,Free w/RSVP b4 10pm / $5 pre / $10 | 21+Housepitality
Wed: Apr 17(9pm-3am),Wed: Apr 17(9pm-3am),"Wormhole: Bukez Finezt, The Widdler, & More @ The New Parish (Oakland)","Wormhole: Bukez Finezt, The Widdler, & More @ The New Parish (Oakland)","dubstep, trap, glitch-hop, hip-hop, psydub, breakbeat, bass music",,$5-10 | 21+Wormhole
Thu: Apr 18-Sun: Apr 21(Thu: 10am-Sun: 3pm),Thu: Apr 18-Sun: Apr 21(Thu: 10am-Sun: 3pm),2019 Gays Hate Techno Spring Gathering @ TBA (Northern California),2019 Gays Hate Techno Spring Gathering @ TBA (Northern California),"house, techno",https://www.facebook.com/events/575802346218502/,$200-250Gays Hate Techno
Thu: Apr 18(5pm-8pm),Thu: Apr 18(5pm-8pm),Niklas Presents Something Better @ Vinyl Dreams (San Francisco),Niklas Presents Something Better @ Vinyl Dreams (San Francisco),house,,Free | All agesNiklas
Thu: Apr 18(9pm-2am),Thu: Apr 18(9pm-2am),Sequence: Zeke Beats + Pigeon Hole @ DNA Lounge (San Francisco),Sequence: Zeke Beats + Pigeon Hole @ DNA Lounge (San Francisco),"bass music, dubstep, trap",https://www.facebook.com/events/2157055001273221/,"$5-10 | 18+Vital Events, Llc"
Thu: Apr 18(9pm-2am),Thu: Apr 18(9pm-2am),Smokepurpp Live @ 1015 Folsom (San Francisco),Smokepurpp Live @ 1015 Folsom (San Francisco),"hip-hop, trap",https://www.facebook.com/events/1208899709258346/,$15-20 | 21+1015 Folsom
Thu: Apr 18(9:30pm-2am),Thu: Apr 18(9:30pm-2am),Markus Schulz @ The Park Ultra Lounge (Sacramento),Markus Schulz @ The Park Ultra Lounge (Sacramento),"progressive house, trance",https://www.facebook.com/events/1557799084364235/,$10 | 21+Midnite Events
Thu: Apr 18(10pm-4am),Thu: Apr 18(10pm-4am),"Amelie Lens, Farrago @ Halcyon (San Francisco)","Amelie Lens, Farrago @ Halcyon (San Francisco)",techno,https://www.facebook.com/events/534426930375282/,$25-45 | 21+Halcyon SF
Fri: Apr 19(2am-6am),Fri: Apr 19(2am-6am),Westend and Zendlo @ TBA (San Francisco),Westend and Zendlo @ TBA (San Francisco),"tech house, funky house",,$10-20 | 21+SET
Fri: Apr 19-Sun: Apr 21(Fri: 1pm-Sun: 5pm),Fri: Apr 19-Sun: Apr 21(Fri: 1pm-Sun: 5pm),MoonGodz Presents: Carb Cap @ TBA (Concow),MoonGodz Presents: Carb Cap @ TBA (Concow),"psytrance, hard trap, house, techno, dubstep, garage, bass music",https://www.facebook.com/events/612227039224894/,Free
Fri: Apr 19-Wed: Apr 24(Fri: 1:11pm-Wed: 11:11pm),Fri: Apr 19-Wed: Apr 24(Fri: 1:11pm-Wed: 11:11pm),Psyover 420 Passover @ TBA (Pioneer),Psyover 420 Passover @ TBA (Pioneer),psytrance,,$150-200 | All agesChicken Soup Show
Fri: Apr 19(7pm-11pm),Fri: Apr 19(7pm-11pm),Levydance 17th Annual Celebration w/ Photay @ Gray Area Art + Technology (San Francisco),Levydance 17th Annual Celebration w/ Photay @ Gray Area Art + Technology (San Francisco),"ambient, new wave",https://www.facebook.com/events/1925641150892359/,$20 | 21+Gray Area Art + Technology
Fri: Apr 19(8pm),Fri: Apr 19(8pm),Chvrches @ Greek Theatre (Berkeley),Chvrches @ Greek Theatre (Berkeley),"synthpop, indie dance",,$49.5
Fri: Apr 19(8pm-3:30am),Fri: Apr 19(8pm-3:30am),"Bicycle Day SF 2019: The Polish Ambassador (LIVE), Slow Magic, Rob Garza (of Thievery Corporation), Bluetech, Wyatt Marshall, MiHKAL, El Papachango, Dissolv, Evan Casey, Justin Campbell @ The Midway (San Francisco)","Bicycle Day SF 2019: The Polish Ambassador (LIVE), Slow Magic, Rob Garza (of Thievery Corporation), Bluetech, Wyatt Marshall, MiHKAL, El Papachango, Dissolv, Evan Casey, Justin Campbell @ The Midway (San Francisco)","future funk, hip-hop, tech house, deep house, bass music, trip-hop",https://www.facebook.com/events/363042524476904/,"$35-110 | 21+Euphonic Conceptions, The Legion Of Bloom"
Fri: Apr 19(8pm-3am),Fri: Apr 19(8pm-3am),"Kill Paris w/ Jaykode, Anthony Sceam + More @ The Great Northern (San Francisco)","Kill Paris w/ Jaykode, Anthony Sceam + More @ The Great Northern (San Francisco)","dubstep, trap, future bass, bass house, electro house",https://www.facebook.com/events/394595677987547/,$18-25 | 21+Q-Vents
Fri: Apr 19(9pm),Fri: Apr 19(9pm),Sacha Robotti @ Fulton 55 (Fresno),Sacha Robotti @ Fulton 55 (Fresno),"tech house, funky house",https://www.facebook.com/events/406391586592754/,$15 | 21+Lmc
Fri: Apr 19(9pm-2am),Fri: Apr 19(9pm-2am),DJ Snoopadelic Aka Snoop Dogg @ Svn West (San Francisco),DJ Snoopadelic Aka Snoop Dogg @ Svn West (San Francisco),hip-hop,,"$15-20 | 21+Ankh, Eye Heart SF, Global Networking Group, Sen"
Fri: Apr 19(9:30pm-2:30am),Fri: Apr 19(9:30pm-2:30am),Dancing Ghosts / Robert Smith 60th Birthday Party! @ Cat Club (San Francisco),Dancing Ghosts / Robert Smith 60th Birthday Party! @ Cat Club (San Francisco),"darkwave, post-punk, 80s, industrial",,$5 b4 10/$8 | 21+Dancing Ghosts
Fri: Apr 19(9:30pm-3:30am),Fri: Apr 19(9:30pm-3:30am),"Dubfire, Rooz @ The Public Works (San Francisco)","Dubfire, Rooz @ The Public Works (San Francisco)",techno,https://www.facebook.com/events/2257278381154155/,$20-23 | 21+Deep Blue & Public Works
Fri: Apr 19(9:30pm-3am),Fri: Apr 19(9:30pm-3am),"Femme Ascension: Rise with Us w/Just Her, Black Velveteen, Queen Lisa @ Monarch (San Francisco)","Femme Ascension: Rise with Us w/Just Her, Black Velveteen, Queen Lisa @ Monarch (San Francisco)","progressive house, tech house",,21+Airpusher Collective
Fri: Apr 19(10pm-3:30am),Fri: Apr 19(10pm-3:30am),"Parameter w/ Paradox, Forest Drive West, Overlook @ F8 1192 Folsom (San Francisco)","Parameter w/ Paradox, Forest Drive West, Overlook @ F8 1192 Folsom (San Francisco)","drum and bass, techno, electro",https://www.facebook.com/events/344995002784111/,$10-12 | 21+Parameter
Fri: Apr 19(10pm-3am),Fri: Apr 19(10pm-3am),"Ladies Of Trance - Jes, Kristina Sky, Erika K & Melodie @ Halcyon (San Francisco)","Ladies Of Trance - Jes, Kristina Sky, Erika K & Melodie @ Halcyon (San Francisco)","trance, progressive house",https://www.facebook.com/events/1126089167569378/,$5 b4 11/$10-20 | 21+
Fri: Apr 19(10pm-4am),Fri: Apr 19(10pm-4am),"Tale Of Us, Patrice Baumel, Doc Martin @ 1015 Folsom (San Francisco)","Tale Of Us, Patrice Baumel, Doc Martin @ 1015 Folsom (San Francisco)","tech house, techno",https://www.facebook.com/events/2241460045916093/,"$25-32.50 | 21+As You Like It, DJ Dials"
Fri: Apr 19(10pm-7pm),Fri: Apr 19(10pm-7pm),Goamoon Full Moon Monthly @ TBA (San Francisco),Goamoon Full Moon Monthly @ TBA (San Francisco),psytrance,,FreeStephan Sanders
Sat: Apr 20(11am-8pm),Sat: Apr 20(11am-8pm),"South Bay Showcase: Anthony Zmoda, Mark Watson, Wez, Skyeline, Bates, Danny Delay, Aquaberry, Christian Miranda @ Baylands Grove Amphitheater (Sunnyvale)","South Bay Showcase: Anthony Zmoda, Mark Watson, Wez, Skyeline, Bates, Danny Delay, Aquaberry, Christian Miranda @ Baylands Grove Amphitheater (Sunnyvale)","techno, tech house, deep house",https://www.facebook.com/events/405561823338446/,Free / donation | All agesSan Jose Techno & House
Sat: Apr 20(1pm-10pm),Sat: Apr 20(1pm-10pm),Psychedelicious 420 - One Year Anniversary @ Queen Sheba (Sacramento),Psychedelicious 420 - One Year Anniversary @ Queen Sheba (Sacramento),"psydub, downtempo, progressive house, trance, psytrance",,Free | All agesPsyangha
Sat: Apr 20(1pm-7pm),Sat: Apr 20(1pm-7pm),Pizza and Techno: 'Freshly Baked' @ Audio Nightclub (San Francisco),Pizza and Techno: 'Freshly Baked' @ Audio Nightclub (San Francisco),"tech house, funky house",https://www.facebook.com/events/1304850822989397/,Free w/RSVP / $20 | 21+Pizza And Techno
Sat: Apr 20(4:20pm-4:20am),Sat: Apr 20(4:20pm-4:20am),Fourtwenty feat Donald Glaude @ TBA (Sacramento),Fourtwenty feat Donald Glaude @ TBA (Sacramento),"house, dubstep, bass music",https://www.facebook.com/events/332299590708423/,$10-50 | 21+White Diamonds Entertainment
Sat: Apr 20(8pm-2am),Sat: Apr 20(8pm-2am),Att Pres. Cesar Lugo @ Cilantro's Mexican Restaurant (Sacramento),Att Pres. Cesar Lugo @ Cilantro's Mexican Restaurant (Sacramento),tech trance,,Att All Things Trance
Sat: Apr 20(9pm),Sat: Apr 20(9pm),The Floozies w/Dirt Monkey @ The Uc Theatre Taube Family Music Hall (Berkeley),The Floozies w/Dirt Monkey @ The Uc Theatre Taube Family Music Hall (Berkeley),"funk, synthpop, electropop",,"$22.5The Uc Theatre, Euphonic Conceptions, And Berkeley Patients Group Present"
Sat: Apr 20(9pm-1:30am),Sat: Apr 20(9pm-1:30am),Club Necromancy: Seabound & Tr/St Tribute Night @ Midtown Barfly (Sacramento),Club Necromancy: Seabound & Tr/St Tribute Night @ Midtown Barfly (Sacramento),"goth, industrial, synthpop, EBM, dark 80s, new wave",,$5 b4 10/$8 | 21+Club Necromancy
Sat: Apr 20(9pm-1:30am),Sat: Apr 20(9pm-1:30am),"Tap In: Friend., Rook, Woosah, Sherlock Ohms @ The Dreaming Space (Oakland)","Tap In: Friend., Rook, Woosah, Sherlock Ohms @ The Dreaming Space (Oakland)","bass music, dubstep, trap",https://www.facebook.com/events/1237391389759425/,$10 preTap In Oakland
Sat: Apr 20(9pm-1:45am),Sat: Apr 20(9pm-1:45am),Deepinthehatch @ The Hatch (Oakland),Deepinthehatch @ The Hatch (Oakland),"deep house, tech house",,Free | 21+Deep In The Hatch
Sat: Apr 20(9pm-2am),Sat: Apr 20(9pm-2am),Dreamstate Presents: Vini Vici @ Mezzanine (San Francisco),Dreamstate Presents: Vini Vici @ Mezzanine (San Francisco),tech trance,https://www.facebook.com/events/409404999692935/,$35 pre | 21+Dreamstate
Sat: Apr 20(9pm-2am),Sat: Apr 20(9pm-2am),"Slinky Family Night By Jam On It Productions w/Scotty James, Benjamin Vallery, Darrell Tenaglia, Justin Obrien, Mack Lino @ Underground (San Francisco)","Slinky Family Night By Jam On It Productions w/Scotty James, Benjamin Vallery, Darrell Tenaglia, Justin Obrien, Mack Lino @ Underground (San Francisco)",house,,Free | 21+JAM On It
Sat: Apr 20(9pm-3:30am),Sat: Apr 20(9pm-3:30am),Bootie SF: 4/20 vs. Easter! @ DNA Lounge (San Francisco),Bootie SF: 4/20 vs. Easter! @ DNA Lounge (San Francisco),mashups,https://www.facebook.com/events/658425327945936/,$10 b4 10pm/$15 pre/$20 | 21+Bootie SF
Sat: Apr 20(9pm-4:20am),Sat: Apr 20(9pm-4:20am),"Smoke The Beep Boop Lettuce Underground Bash: Krystalize, Nymph Lode, DILT, Chris Thejunglist, DJ Spastik, DJ Kenai, 6two6, Pyramidhead @ TBA (Bay Area)","Smoke The Beep Boop Lettuce Underground Bash: Krystalize, Nymph Lode, DILT, Chris Thejunglist, DJ Spastik, DJ Kenai, 6two6, Pyramidhead @ TBA (Bay Area)","drum and bass, jungle, hardcore, trance, psytrance",,$15 | All agesPsi-Fi Event Production
Sat: Apr 20(9pm-4am),Sat: Apr 20(9pm-4am),Charlotte De Witte @ Public Works (San Francisco),Charlotte De Witte @ Public Works (San Francisco),techno,https://www.facebook.com/events/1029300430593291/,$17-25 | 21+Public Works
Sat: Apr 20(9:30pm-2:30am),Sat: Apr 20(9:30pm-2:30am),Kraak & Smaak (DJ Set) // Motion Potion // Justin Waves @ Monarch (San Francisco),Kraak & Smaak (DJ Set) // Motion Potion // Justin Waves @ Monarch (San Francisco),"funky house, tech house, electro house",http://www.residentadvisor.net/events/1237509,$10-20 | 21+Monarch
Sat: Apr 20(9:30pm-2am),Sat: Apr 20(9:30pm-2am),Blond:Ish @ Audio (San Francisco),Blond:Ish @ Audio (San Francisco),"techno, house",,$10-20 | 21+Audio San Francisco
Sat: Apr 20(10pm),Sat: Apr 20(10pm),Party Favor @ August Hall (San Francisco),Party Favor @ August Hall (San Francisco),"big room house, electro house, trap",,$22 | 18+August Hall & Insomniac Present
Sat: Apr 20(10pm-1:30am),Sat: Apr 20(10pm-1:30am),Housekeeping @ Wish (San Francisco),Housekeeping @ Wish (San Francisco),house,https://www.facebook.com/events/420125268737724/,Free | 21+Housekeepingentertainment
