start-date-time,source,end-date-time,geography,name,tags,miscellaneous
Sun: Mar 3(10pm-2am),19hz,Sun: Mar 3(10pm-2am),"Stamina Sundays w/ TC, Stamina Crew @ F8 1192 Folsom (San Francisco)","Stamina Sundays w/ TC, Stamina Crew @ F8 1192 Folsom (San Francisco)","drum and bass, jungle",Free | 21+|Stamina DNB|
Mon: Mar 4(7pm-12am),19hz,Mon: Mar 4(7pm-12am),"VDSF Monday Nite Social Club: Andre, Johnnie Walker, DJ Oh @ Underground (San Francisco)","VDSF Monday Nite Social Club: Andre, Johnnie Walker, DJ Oh @ Underground (San Francisco)","house, techno, disco, funk, leftfield",21+|Vinyl Dreams|
Tue: Mar 5(5:30pm-8:30pm),19hz,Tue: Mar 5(5:30pm-8:30pm),Taco Tuesday @ Monarch (San Francisco),Taco Tuesday @ Monarch (San Francisco),"house, disco",Free | 21+|Dizkoalition|
Tue: Mar 5(8pm-11:55pm),19hz,Tue: Mar 5(8pm-11:55pm),"Oakland Mardi Gras 2019 w/ Mj's Brass Boppers X DJ Platurn, DJ Yamin @ The New Parish (Oakland)","Oakland Mardi Gras 2019 w/ Mj's Brass Boppers X DJ Platurn, DJ Yamin @ The New Parish (Oakland)","hip-hop, funk, live band",All ages|The Oakland Second Line Project x MJ's Brass Boppers|Facebook Page
Tue: Mar 5(8pm-1am),19hz,Tue: Mar 5(8pm-1am),"Bass Therapy: Ft AB The Thief, Triple F & More @ Republic Bar & Grill (Sacramento)","Bass Therapy: Ft AB The Thief, Triple F & More @ Republic Bar & Grill (Sacramento)","trap, hip-hop",$10|Subphonic Events|
Tue: Mar 5(10pm-2am),19hz,Tue: Mar 5(10pm-2am),"Soundpieces: Leroy Peppers, Uncanney b2b Higrade b2b Teluryde, Funkytown, Ryury @ Monarch (San Francisco)","Soundpieces: Leroy Peppers, Uncanney b2b Higrade b2b Teluryde, Funkytown, Ryury @ Monarch (San Francisco)","dubstep, trap, grime, hip-hop, footwork, juke, halftime drum and bass, house",$4 pre | 21+|Soundpieces|Facebook Page
Wed: Mar 6(8pm-11:59pm),19hz,Wed: Mar 6(8pm-11:59pm),The Kvb / Numb.Er / Houses Of Heaven @ Rickshaw Stop (San Francisco),The Kvb / Numb.Er / Houses Of Heaven @ Rickshaw Stop (San Francisco),"darkwave, synthpunk",$12-15 | 18+|Sea Witch Productions|
Wed: Mar 6(8pm-12am),19hz,Wed: Mar 6(8pm-12am),DJmaDRE @ The Royale (San Francisco),DJmaDRE @ The Royale (San Francisco),"future bass, hip hop, funk, soul, global bass",Free | 21+|Will Weston|Event Link
Wed: Mar 6(9pm-2am),19hz,Wed: Mar 6(9pm-2am),"Housepitality: Sunshine Jones, Tobin Ellsworth, Groovewell @ F8 1192 Folsom (San Francisco)","Housepitality: Sunshine Jones, Tobin Ellsworth, Groovewell @ F8 1192 Folsom (San Francisco)","deep house, funky house",Free w/RSVP b4 10pm / $5 pre / $10 | 21+|Housepitality|Facebook Page
Thu: Mar 7(8pm-2am),19hz,Thu: Mar 7(8pm-2am),"Fluxtuated: Jdirra, Blk&Wht B2B Wei, Bri, Anthony Zmoda, Danny Delay @ Bar Fluxus (San Francisco)","Fluxtuated: Jdirra, Blk&Wht B2B Wei, Bri, Anthony Zmoda, Danny Delay @ Bar Fluxus (San Francisco)",house,Free w/RSVP/$5 | 21+||
Thu: Mar 7(9pm-1:30am),19hz,Thu: Mar 7(9pm-1:30am),Dive Deep Featuring Jody Wisternoff @ LowBrau (Sacramento),Dive Deep Featuring Jody Wisternoff @ LowBrau (Sacramento),"progressive house, tech house",$5 | 21+|Requiem Events|Facebook Page
Thu: Mar 7(9pm-2am),19hz,Thu: Mar 7(9pm-2am),Get w/ Barisone @ F8 1192 Folsom (San Francisco),Get w/ Barisone @ F8 1192 Folsom (San Francisco),"hip-hop, club music, bass music",Free | 21+|Get With The Program|
Thu: Mar 7(9pm-2am),19hz,Thu: Mar 7(9pm-2am),"Sequence: Jantsen, Digital Ethos, & Big Chocolate @ DNA Lounge (San Francisco)","Sequence: Jantsen, Digital Ethos, & Big Chocolate @ DNA Lounge (San Francisco)","dubstep, hybrid trap, riddim, hip-hop","$5-10 | 18+|Vital Events, Llc|Facebook Page"
Thu: Mar 7(9:30pm-2am),19hz,Thu: Mar 7(9:30pm-2am),Arty @ Audio (San Francisco),Arty @ Audio (San Francisco),"progressive house, big room",$10-20 | 21+|Audio San Francisco|
Thu: Mar 7(9:30pm-2am),19hz,Thu: Mar 7(9:30pm-2am),Wolfgang Gartner @ The Park Ultra Lounge (Sacramento),Wolfgang Gartner @ The Park Ultra Lounge (Sacramento),electro house,$7 pre | 21+|Midnite Events|Facebook Page
Thu: Mar 7(10pm-1:50am),19hz,Thu: Mar 7(10pm-1:50am),"Shelter - Professor Bang, K2, Splendid, Shadow Spirit @ Underground (San Francisco)","Shelter - Professor Bang, K2, Splendid, Shadow Spirit @ Underground (San Francisco)","drum and bass, jungle, dubstep, bass music",Free | 21+|Shelter SF|
Thu: Mar 7(10pm-2am),19hz,Thu: Mar 7(10pm-2am),Malaa @ 1015 Folsom (San Francisco),Malaa @ 1015 Folsom (San Francisco),"future house, g-house",$20-30 | 21+|1015 Folsom|Facebook Page
Thu: Mar 7(10pm-4am),19hz,Thu: Mar 7(10pm-4am),Substance 1yr Anniversary w/ Stacey Pullen @ The Endup (San Francisco),Substance 1yr Anniversary w/ Stacey Pullen @ The Endup (San Francisco),tech house,Free w/RSVP b4 11pm/$5-10 | 21+||Facebook Page
Fri: Mar 8(2am-6am),19hz,Fri: Mar 8(2am-6am),German Brigante @ TBA (San Francisco),German Brigante @ TBA (San Francisco),tech house,$10-15 | 21+|Set-SF|
Fri: Mar 8(7pm-12am),19hz,Fri: Mar 8(7pm-12am),"Evolve.2 w/Fierce Animals, Mac Vaughn, Ryan Michael Robbins @ Pyramind (San Francisco)","Evolve.2 w/Fierce Animals, Mac Vaughn, Ryan Michael Robbins @ Pyramind (San Francisco)","tech house, techno, minimal",Free w/RSVP/$5-10|Pyramind|Facebook Page
Fri: Mar 8(7:30pm),19hz,Fri: Mar 8(7:30pm),Empress Of @ Starline Social Club (Oakland),Empress Of @ Starline Social Club (Oakland),synthpop,$20-24 | All ages|Noise Pop|
Fri: Mar 8(8pm),19hz,Fri: Mar 8(8pm),Moongodz Entertainment: Lunar Landing @ 1983 New Long Valley Rd (Clearlake Oaks),Moongodz Entertainment: Lunar Landing @ 1983 New Long Valley Rd (Clearlake Oaks),"dubstep, trap, house, psytrance, bass music",$5-10|Moongodz Entertainment|Facebook Page
Fri: Mar 8(8:30pm),19hz,Fri: Mar 8(8:30pm),Bleep Bloop (Live Modular) @ The Independent (San Francisco),Bleep Bloop (Live Modular) @ The Independent (San Francisco),"live modular, trap, hip-hop, dubstep, bass music",$20 | 21+|Wormhole|Facebook Page
Fri: Mar 8(9pm-12am),19hz,Fri: Mar 8(9pm-12am),"Vitta (SF), Marjo Lak, Skinny Pepperwood @ The Jam (Arcata)","Vitta (SF), Marjo Lak, Skinny Pepperwood @ The Jam (Arcata)","dubstep, breaks, drum and bass",$5 b4 10/$10 | 21+|Fraktal Productions|
Fri: Mar 8(9pm-2am),19hz,Fri: Mar 8(9pm-2am),"International Women's Day In The Bay: A Benefit for Immigrant Children, Families, & Refugees via RAICES feat Aiko / femmelectric / FoxForce005 / Hellacat  / Sobb Deep + Ladies Only Open Decks  @ 111 Minna Gallery (San Francisco)","International Women's Day In The Bay: A Benefit for Immigrant Children, Families, & Refugees via RAICES feat Aiko / femmelectric / FoxForce005 / Hellacat  / Sobb Deep + Ladies Only Open Decks  @ 111 Minna Gallery (San Francisco)","hip-hop, disco, electro, house, breaks, techno",$10 donation | 21+|Femmelectric|
Fri: Mar 8(9pm-2am),19hz,Fri: Mar 8(9pm-2am),Lips & Rhythm Label Night w/ Roy Comanchero (Japan) @ Underground (San Francisco),Lips & Rhythm Label Night w/ Roy Comanchero (Japan) @ Underground (San Francisco),"deep house, funky house, nu-disco",21+|Lips & Rhythm|
Fri: Mar 8(9pm-2am),19hz,Fri: Mar 8(9pm-2am),"Rhythm Method: Emanate [Mioli Music] Jane Allen's Birthday w/Mario Dubbz, Vedda, Mike Bledsoe, Jan van Lier, No Way Jose, Ally AF @ BRIX 581 (Oakland)","Rhythm Method: Emanate [Mioli Music] Jane Allen's Birthday w/Mario Dubbz, Vedda, Mike Bledsoe, Jan van Lier, No Way Jose, Ally AF @ BRIX 581 (Oakland)","tech house, techno, deep house, funky house",$5 b4 10/$15 | 21+|Housebroken Events|
Fri: Mar 8(9pm-2am),19hz,Fri: Mar 8(9pm-2am),Wrongway: CM-4 b2b Birch Koolman All Night Long @ Driftwood (San Francisco),Wrongway: CM-4 b2b Birch Koolman All Night Long @ Driftwood (San Francisco),"deep house, tech house, techno",Free | 21+|Birch Koolman|
Fri: Mar 8(9pm-3am),19hz,Fri: Mar 8(9pm-3am),Wolfgang Gartner @ Mezzanine (San Francisco),Wolfgang Gartner @ Mezzanine (San Francisco),electro house,$15-20 | 21+|Mezzanine|
Fri: Mar 8(9pm-4am),19hz,Fri: Mar 8(9pm-4am),"Special Guest, Kathi, Day Thief @ The Stud (San Francisco)","Special Guest, Kathi, Day Thief @ The Stud (San Francisco)","techno, house",$10-15 | 21+|The Stud and Undefined|Facebook Page
Fri: Mar 8(9pm-7am),19hz,Fri: Mar 8(9pm-7am),"Masters Of Puppets Teaser: Narkotika, Bodhi, Oso, Blue Spectral Monkey, Treetop, Andrus, Cosmic Lotus @ TBA (San Francisco)","Masters Of Puppets Teaser: Narkotika, Bodhi, Oso, Blue Spectral Monkey, Treetop, Andrus, Cosmic Lotus @ TBA (San Francisco)","psytrance, hitech",$20 pre/$30|Psycircle|Facebook Page
Fri: Mar 8(9:30pm-1:45am),19hz,Fri: Mar 8(9:30pm-1:45am),Stigmata w/ Guest DJ: Bit @ The Golden Bull (Oakland),Stigmata w/ Guest DJ: Bit @ The Golden Bull (Oakland),"goth, synthpop, darkwave",$5 | 21+|Stigmata|
Fri: Mar 8(9:30pm-2am),19hz,Fri: Mar 8(9:30pm-2am),Jody Wisternoff @ Audio (San Francisco),Jody Wisternoff @ Audio (San Francisco),"progressive house, tech house",$10-15 | 21+|Audio San Francisco|
Fri: Mar 8(9:30pm-3:30am),19hz,Fri: Mar 8(9:30pm-3:30am),A Club Called Rhonda SF @ The Great Northern (San Francisco),A Club Called Rhonda SF @ The Great Northern (San Francisco),"house, disco, funk",$10-15 | 21+|The Great Northern|Facebook Page
Fri: Mar 8(9:30pm-3:30am),19hz,Fri: Mar 8(9:30pm-3:30am),Rhadoo @ Public Works Oddjob Loft (San Francisco),Rhadoo @ Public Works Oddjob Loft (San Francisco),"tech house, minimal, techno",$19 | 21+|Aftertouch|Facebook Page
Fri: Mar 8(9:30pm-3:30am),19hz,Fri: Mar 8(9:30pm-3:30am),"Viken Arman, Lum, and Crussen @ The Public Works (San Francisco)","Viken Arman, Lum, and Crussen @ The Public Works (San Francisco)","deep house, tech house",$10-20 | 21+|The Public Works SF|Facebook Page
Fri: Mar 8(9:30pm-3am),19hz,Fri: Mar 8(9:30pm-3am),The Garden Party w/ Tara Brooks // Rachel Torro // Benjamin K @ Monarch (San Francisco),The Garden Party w/ Tara Brooks // Rachel Torro // Benjamin K @ Monarch (San Francisco),"tech house, techno",$10-20 | 21+|You're Welcome|
Fri: Mar 8(10pm-2am),19hz,Fri: Mar 8(10pm-2am),Cray @ Temple Nightclub (San Francisco),Cray @ Temple Nightclub (San Francisco),"future bass, trap",Free w/RSVP b4 11pm/$20 | 21+|Temple Nightclub|
Fri: Mar 8(10pm-3am),19hz,Fri: Mar 8(10pm-3am),Valentino Khan's House Party @ 1015 Folsom (San Francisco),Valentino Khan's House Party @ 1015 Folsom (San Francisco),electro house,$15-20 | 21+|1015 Folsom|
Fri: Mar 8(10pm-4am),19hz,Fri: Mar 8(10pm-4am),Bruno Furlan and VNSSA @ Halcyon (San Francisco),Bruno Furlan and VNSSA @ Halcyon (San Francisco),tech house,$5-20 | 21+|Halcyon SF|
Fri: Mar 8(10pm-4am),19hz,Fri: Mar 8(10pm-4am),"Robot Ears: Phase, Lindsey Herbert, Sean Ocean (live), MNML:FUN @ F8 1192 Folsom (San Francisco)","Robot Ears: Phase, Lindsey Herbert, Sean Ocean (live), MNML:FUN @ F8 1192 Folsom (San Francisco)","techno, minimal",$12-15 | 21+|Robot Ears|Event Link
Sat: Mar 9(6am-2pm),19hz,Sat: Mar 9(6am-2pm),"Inside Out Presents The Patio Party Season Opener w/Emanate, Dean Samaras, Antonio Manigrassi, Lisa Rose, Vedda, Cristoffer Z @ The Endup (San Francisco)","Inside Out Presents The Patio Party Season Opener w/Emanate, Dean Samaras, Antonio Manigrassi, Lisa Rose, Vedda, Cristoffer Z @ The Endup (San Francisco)","tech house, techno, deep house",$20 | 21+|Inside Out Mornings|Facebook Page
Sat: Mar 9(6pm-1:59am),19hz,Sat: Mar 9(6pm-1:59am),"Animalistik 2019 Ft Arius, Phiso, Codd Dubz, Chime, Irie Mike, Neonbunny, K2, Empyral, Mile high, Haddit, Ano b2b Z-Major @ 415 C St (Galt)","Animalistik 2019 Ft Arius, Phiso, Codd Dubz, Chime, Irie Mike, Neonbunny, K2, Empyral, Mile high, Haddit, Ano b2b Z-Major @ 415 C St (Galt)","dubstep, trap",$23-46|National Entity|Facebook Page
Sat: Mar 9(7:30pm),19hz,Sat: Mar 9(7:30pm),Droeloe w/Kidswaste @ Cornerstone (Berkeley),Droeloe w/Kidswaste @ Cornerstone (Berkeley),"future bass, hip-hop, bass music, dubstep",$19 pre / $21 | All ages||
Sat: Mar 9(8pm),19hz,Sat: Mar 9(8pm),Matoma @ The Warfield (San Francisco),Matoma @ The Warfield (San Francisco),tropical house,$25.50-43.50 | 18+||
Sat: Mar 9(8pm-1:45am),19hz,Sat: Mar 9(8pm-1:45am),"Liquid Witches: Zoetrope, Hijinx, DJ Chai, Whiskey Devil, DJ CARE @ Asiento (San Francisco)","Liquid Witches: Zoetrope, Hijinx, DJ Chai, Whiskey Devil, DJ CARE @ Asiento (San Francisco)",liquid drum and bass,Free | 21+|Dj Whiskey Devil|
Sat: Mar 9(8pm-10pm),19hz,Sat: Mar 9(8pm-10pm),Headroom SF Listening Sessions @ Halcyon (San Francisco),Headroom SF Listening Sessions @ Halcyon (San Francisco),music showcase,Free | 21+|Headroom Listening Sessions|
Sat: Mar 9(8pm-11:59pm),19hz,Sat: Mar 9(8pm-11:59pm),Gravedgr @ Slim's (San Francisco),Gravedgr @ Slim's (San Francisco),"dubstep, trap",$15-25 | 18+|Slim's|
Sat: Mar 9(8:15pm-9:15pm),19hz,Sat: Mar 9(8:15pm-9:15pm),Laser Electronic Dance Music @ De Anza College Fujitsu Planetarium (Cupertino),Laser Electronic Dance Music @ De Anza College Fujitsu Planetarium (Cupertino),"EDM, big room, big beat",$9 | All ages|De Anza College Fujitsu Planetarium|Facebook Page
Sat: Mar 9(8:30pm),19hz,Sat: Mar 9(8:30pm),Luttrell @ The Independent (San Francisco),Luttrell @ The Independent (San Francisco),progressive house,$15 pre/$18 | 21+||Facebook Page
Sat: Mar 9(9pm),19hz,Sat: Mar 9(9pm),Cosmic Gate @ The Regency Ballroom (San Francisco),Cosmic Gate @ The Regency Ballroom (San Francisco),"trance, progressive house",$20-25 | 18+|Goldenvoice|
Sat: Mar 9(9pm-1:30am),19hz,Sat: Mar 9(9pm-1:30am),Chasms + Article Collection + Austin Cesear + St DJs @ Elbo Room Jack London (Oakland),Chasms + Article Collection + Austin Cesear + St DJs @ Elbo Room Jack London (Oakland),"live electronic, experimental, ambient",$13 | 21+|Bodyshock|Facebook Page
Sat: Mar 9(9pm-1am),19hz,Sat: Mar 9(9pm-1am),"Magnum Dopeness feat Defcon One, E-Sassin, r.A.W. @ Back Bar Sofa (San Jose)","Magnum Dopeness feat Defcon One, E-Sassin, r.A.W. @ Back Bar Sofa (San Jose)","drum and bass, jungle",$5 b4 10/$10 | 21+||
Sat: Mar 9(9pm-3:30am),19hz,Sat: Mar 9(9pm-3:30am),Bootie SF: Mardi Gras Mashquerade @ DNA Lounge (San Francisco),Bootie SF: Mardi Gras Mashquerade @ DNA Lounge (San Francisco),"big room, top 40, dress code",$10 b4 10pm/$15 pre/$20 | 21+|Bootie SF|Facebook Page
Sat: Mar 9(9pm-3am),19hz,Sat: Mar 9(9pm-3am),Gcode: San Francisco's Premier G-House Party @ Hawthorn Bonaparte Room (San Francisco),Gcode: San Francisco's Premier G-House Party @ Hawthorn Bonaparte Room (San Francisco),"bass house, tech house, g-house",Free w/RSVP b4 10:30pm/$5 | 21+|Hawthorn|Facebook Page
Sat: Mar 9(9pm-3am),19hz,Sat: Mar 9(9pm-3am),"Technosaic w/ Juliet Fox, Snowdin, Amicus, Austin Fox @ Midtown Barfly (Sacramento)","Technosaic w/ Juliet Fox, Snowdin, Amicus, Austin Fox @ Midtown Barfly (Sacramento)","techno, tech house",$10-15 | 21+|Lost In Groove|Facebook Page
Sat: Mar 9(9pm-4am),19hz,Sat: Mar 9(9pm-4am),Pulse SF 8 Year Anniversary w/ Gaspard Sangoma @ F8 1192 Folsom (San Francisco),Pulse SF 8 Year Anniversary w/ Gaspard Sangoma @ F8 1192 Folsom (San Francisco),psytrance,21+|Pulse SF|
Sat: Mar 9(9:30pm-1:30am),19hz,Sat: Mar 9(9:30pm-1:30am),"Shredder 1984, Dredd Romero, Danny Delorean, Pendaison @ DNA Lounge (San Francisco)","Shredder 1984, Dredd Romero, Danny Delorean, Pendaison @ DNA Lounge (San Francisco)","synthwave, new wave, electro",$13-16 | 18+|Dna Lounge|Facebook Page
Sat: Mar 9(9:30pm-3:30am),19hz,Sat: Mar 9(9:30pm-3:30am),J.Phlip & Lee Reynolds @ The Public Works (San Francisco),J.Phlip & Lee Reynolds @ The Public Works (San Francisco),"tech house, deep house, progressive house",$15-20 | 21+|The Public Works SF|Facebook Page
Sat: Mar 9(9:30pm-3am),19hz,Sat: Mar 9(9:30pm-3am),Inquiry w/ Evan Casey (Desert Hearts) @ Monarch (San Francisco),Inquiry w/ Evan Casey (Desert Hearts) @ Monarch (San Francisco),"tech house, progressive house, techno",$10-15 | 21+|Inquiry Collective|Facebook Page
Sat: Mar 9(9:30pm-3am),19hz,Sat: Mar 9(9:30pm-3am),Very Special Guest @ Audio (San Francisco),Very Special Guest @ Audio (San Francisco),TBD,$20-40 | 21+|Audio San Francisco|Facebook Page
Fri: Mar 9(9:30pm-4am),19hz,Fri: Mar 9(9:30pm-4am),Pig&Dan @ The Great Northern (San Francisco),Pig&Dan @ The Great Northern (San Francisco),"techno, tech house, deep house",$10-18.92 | 21+|The Great Northern|Facebook Page
Sat: Mar 9(10pm-3am),19hz,Sat: Mar 9(10pm-3am),Fedde Le Grand @ Temple Nightclub (San Francisco),Fedde Le Grand @ Temple Nightclub (San Francisco),electro house,$20+ | 21+|Temple Nightclub|
Sat: Mar 9(10pm-4am),19hz,Sat: Mar 9(10pm-4am),Electroluxx Loft Party @ Public Works (San Francisco),Electroluxx Loft Party @ Public Works (San Francisco),"funky house, tech house",$20 | 21+||Event Link
Sat: Mar 9(10pm-4am),19hz,Sat: Mar 9(10pm-4am),Faultline - 5 Year Anniversary! @ F8 (San Francisco),Faultline - 5 Year Anniversary! @ F8 (San Francisco),breaks,21+|Faultline|
Sat: Mar 9(10pm-4am),19hz,Sat: Mar 9(10pm-4am),Technasia and De La Swing @ Halcyon (San Francisco),Technasia and De La Swing @ Halcyon (San Francisco),"tech house, deep house",$5-20 | 21+|Halcyon SF|
Sat: Mar 9(10pm-5am),19hz,Sat: Mar 9(10pm-5am),Sick Sad World w/ DJ Please @ TBA (East Bay),Sick Sad World w/ DJ Please @ TBA (East Bay),"juke, drum and bass, donk, hardcore, garage",18+|Bellyfeel & C.O.T.N. |
Sun: Mar 10(1am-6am),19hz,Sun: Mar 10(1am-6am),"Rel8 Saturday Night Afterhours Feat. Harry Romero (Nyc), Taj & Eddy Santana @ The Endup (San Francisco)","Rel8 Saturday Night Afterhours Feat. Harry Romero (Nyc), Taj & Eddy Santana @ The Endup (San Francisco)",house,21+|The Endup|Facebook Page
Sun: Mar 10(1pm-3pm),19hz,Sun: Mar 10(1pm-3pm),Sunday Soundbath @ Vintage Synthesizer Museum (Emeryville),Sunday Soundbath @ Vintage Synthesizer Museum (Emeryville),ambient,$5 suggested donation | 18+|Vintage Synthesizer Museum|
Sun: Mar 10(1pm-6pm),19hz,Sun: Mar 10(1pm-6pm),"Honeypot: Ampers&nd, Emily Fox, Miss Dre, Pantz @ Halcyon (San Francisco)","Honeypot: Ampers&nd, Emily Fox, Miss Dre, Pantz @ Halcyon (San Francisco)","tech house, electro house, techno",Free w/RSVP / $15 | 21+|Halcyon SF|
Sun: Mar 10(6pm-11pm),19hz,Sun: Mar 10(6pm-11pm),"Can You Feel It!? AVN (mphatiq + BAKR), OmNa, Christina T, QUALAFOX, Critical Value, DJ LUV-le @ Jolene's Bar (San Francisco)","Can You Feel It!? AVN (mphatiq + BAKR), OmNa, Christina T, QUALAFOX, Critical Value, DJ LUV-le @ Jolene's Bar (San Francisco)","tech house, progressive house, breaks",21+|Dj Luv-Le|
Sun: Mar 10(7pm-11:59pm),19hz,Sun: Mar 10(7pm-11:59pm),Big Wild @ Ace Of Spades (Sacramento),Big Wild @ Ace Of Spades (Sacramento),"glitch-hop, synthpop, indie dance",$20-33.15||Facebook Page
Sun: Mar 10(8pm-12am),19hz,Sun: Mar 10(8pm-12am),DSTR Plus Vandalaze @ Elbo Room Jack London (Oakland),DSTR Plus Vandalaze @ Elbo Room Jack London (Oakland),"synthpop, synthwave",$15 | 21+|Bodyshock|
Sun: Mar 10(9pm-2am),19hz,Sun: Mar 10(9pm-2am),Werd. w/ Lamache @ Monarch (San Francisco),Werd. w/ Lamache @ Monarch (San Francisco),"funky house, deep house, disco",$5 | 21+|Werd.|
Sun: Mar 10(10pm-2am),19hz,Sun: Mar 10(10pm-2am),"Sundaze: Austin Allison, CopperTon3, Lovehaus  @ The Jam (Arcata)","Sundaze: Austin Allison, CopperTon3, Lovehaus  @ The Jam (Arcata)",house,21+|Copperton3|
Sun: Mar 10(10pm-2am),19hz,Sun: Mar 10(10pm-2am),"The Stud & Romper Room Present Sappho, One A, Trevor Sigler @ The Stud (San Francisco)","The Stud & Romper Room Present Sappho, One A, Trevor Sigler @ The Stud (San Francisco)","funky house, tech house, breaks",21+|One A|
Tue: Mar 12(8pm),19hz,Tue: Mar 12(8pm),James Blake @ Fox Theater (Oakland),James Blake @ Fox Theater (Oakland),"post-dubstep, r&b, soul, experimental",$48||Facebook Page
Tue: Mar 12(8pm-10pm),19hz,Tue: Mar 12(8pm-10pm),Resident Electronic Music (March 2019) @ The Laundry (San Francisco),Resident Electronic Music (March 2019) @ The Laundry (San Francisco),"live electronic, open jam",All ages|The Laundry|
Tue: Mar 12(8pm-1am),19hz,Tue: Mar 12(8pm-1am),Bass Therapy Ft D3v & More @ Republic Bar & Grill (Sacramento),Bass Therapy Ft D3v & More @ Republic Bar & Grill (Sacramento),dubstep,$10 | 21+|Subphonic Events|
Tue: Mar 12(10pm-2am),19hz,Tue: Mar 12(10pm-2am),"Soundpieces: Grimecraft, Danny Delorean, Sikkie @ Monarch (San Francisco)","Soundpieces: Grimecraft, Danny Delorean, Sikkie @ Monarch (San Francisco)","dubstep, trap, grime, hip-hop, footwork, juke, halftime drum and bass, house",$5 pre | 21+|Soundpieces|Facebook Page
Wed: Mar 13(7:30pm),19hz,Wed: Mar 13(7:30pm),"Liquid Stranger - Infinity Tour w/Lsdream, Champagne Drip, G-Rex, Lucii @ Cornerstone (Berkeley)","Liquid Stranger - Infinity Tour w/Lsdream, Champagne Drip, G-Rex, Lucii @ Cornerstone (Berkeley)","dubstep, bass music",$21-26 | All ages|Wormhole Wednesday |Facebook Page
Wed: Mar 13(8pm),19hz,Wed: Mar 13(8pm),James Blake @ Fox Theater (Oakland),James Blake @ Fox Theater (Oakland),"post-dubstep, r&b, soul, experimental",$48.5||
Wed: Mar 13(8:30pm-1am),19hz,Wed: Mar 13(8:30pm-1am),A Producers' Social Takeover: Bosa (Stephan Jacobs & Sunev) @ MOTIV (Santa Cruz),A Producers' Social Takeover: Bosa (Stephan Jacobs & Sunev) @ MOTIV (Santa Cruz),"bass music, dubstep",$5-10 | 21+|Santa Cruz Music Festival|Facebook Page
Wed: Mar 13(9pm-2am),19hz,Wed: Mar 13(9pm-2am),"Housepitality: Osborn, Carlos Souffront, Trevor Sigler, Nick Moss @ F8 1192 Folsom (San Francisco)","Housepitality: Osborn, Carlos Souffront, Trevor Sigler, Nick Moss @ F8 1192 Folsom (San Francisco)","funky house, tech house, deep house",Free w/RSVP b4 10pm / $5 pre / $10 | 21+|Housepitality|
Thu: Mar 14(9pm),19hz,Thu: Mar 14(9pm),Boba Room 2 Ft ????? ???? @ The Tea Zone Lounge (San Jose),Boba Room 2 Ft ????? ???? @ The Tea Zone Lounge (San Jose),TBD,|2HARD|
Thu: Mar 14(9pm-1:30am),19hz,Thu: Mar 14(9pm-1:30am),Siaira Shawn Live! @ The Continental Bar Lounge & Patio (San Jose),Siaira Shawn Live! @ The Continental Bar Lounge & Patio (San Jose),"hip-hop, future beats, r&b, soul",21+|Universal Grammar|
Thu: Mar 14(9pm-2am),19hz,Thu: Mar 14(9pm-2am),"Bay Sine Spring Session w/ DJ Squarewave, Opus, Six Sunsets, & More! @ F8 1192 Folsom (San Francisco)","Bay Sine Spring Session w/ DJ Squarewave, Opus, Six Sunsets, & More! @ F8 1192 Folsom (San Francisco)","dubstep, grime",$5 | 21+|Bay Sine|Facebook Page
Thu: Mar 14(9pm-2am),19hz,Thu: Mar 14(9pm-2am),Play - Valentine's Day Edition w/Zephyr @ Blondie's (Davis),Play - Valentine's Day Edition w/Zephyr @ Blondie's (Davis),EDM,Free w/RSVP / $0 | 21+|Niteshade Nights|Facebook Page
Thu: Mar 14(9pm-2am),19hz,Thu: Mar 14(9pm-2am),Sequence Ft. Riot @ DNA Lounge (San Francisco),Sequence Ft. Riot @ DNA Lounge (San Francisco),dubstep,"$10 | 18+|Vital Events, Llc|Facebook Page"
Thu: Mar 14(9pm-2am),19hz,Thu: Mar 14(9pm-2am),"Supervixen 009 : Rachel Torro, Infinite Jess and Bad Girl Bailey @ Underground (San Francisco)","Supervixen 009 : Rachel Torro, Infinite Jess and Bad Girl Bailey @ Underground (San Francisco)","deep house, techno, tech house",$5 b4 10/$10 | 21+|Good Call SF|
Thu: Mar 14(10pm-1am),19hz,Thu: Mar 14(10pm-1am),Envelop Showcase - Snvs | Brogan Bentley @ Envelop At The Midway (San Francisco),Envelop Showcase - Snvs | Brogan Bentley @ Envelop At The Midway (San Francisco),"juke, breaks, garage",$30 | 21+|Envelop|Facebook Page
Thu: Mar 14(10pm-2am),19hz,Thu: Mar 14(10pm-2am),Shallou (DJ Set) // Phutureprimitive @ 1015 Folsom (San Francisco),Shallou (DJ Set) // Phutureprimitive @ 1015 Folsom (San Francisco),"dubstep, future beats, glitch, bass music",$15-20 | 21+|1015 Folsom|Facebook Page
Thu: Mar 14(10pm-3am),19hz,Thu: Mar 14(10pm-3am),"Doubtingthomas (Live), R. Fentz, Petko Nikolov @ Public Works Oddjob Loft (San Francisco)","Doubtingthomas (Live), R. Fentz, Petko Nikolov @ Public Works Oddjob Loft (San Francisco)","tech house, minimal",$15-17 | 21+|Public Works|Facebook Page
